prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-BIA,FAST,4.B.Red,2026-06-30,11,1909.0,1910.0,0.315,0.554
CAL.R-BIA,SLOW,1.A.Green,2026-04-07,11,692.0,695.0,0.988,0.089
CAL.R-BIA,SLOW,1.A.Green,2026-06-30,11,693.0,695.0,0.975,0.089
CAL.R-BIA,SLOW,1.A.Red,2026-04-07,11,1664.0,1664.0,0.245,0.068
CAL.R-BIA,SLOW,1.A.Red,2026-06-30,11,1662.0,1662.0,0.259,0.069
CAL.R-BIA,SLOW,1.B.Blue,2026-04-07,11,703.0,703.0,0.054,0.056
CAL.R-BIA,SLOW,1.B.Blue,2026-06-30,11,703.0,703.0,0.056,0.055
CAL.R-BIA,SLOW,1.B.Green,2026-04-07,11,660.0,660.0,0.051,0.067
CAL.R-BIA,SLOW,1.B.Green,2026-06-30,11,659.0,659.0,0.05,0.067
CAL.R-BIA,SLOW,1.B.Red,2026-04-07,11,1676.0,1676.0,0.194,0.066
CAL.R-BIA,SLOW,1.B.Red,2026-06-30,11,1677.0,1677.0,0.198,0.066
CAL.R-BIA,SLOW,2.A.Blue,2026-04-07,11,549.0,549.0,0.059,0.056
CAL.R-BIA,SLOW,2.A.Blue,2026-06-30,11,549.0,549.0,0.058,0.057
CAL.R-BIA,SLOW,2.A.Green,2026-04-07,11,636.0,636.0,0.118,0.066
CAL.R-BIA,SLOW,2.A.Green,2026-06-30,11,636.0,636.0,0.118,0.066
CAL.R-BIA,SLOW,2.A.Red,2026-04-07,11,1585.0,1585.0,0.076,0.081
CAL.R-BIA,SLOW,2.A.Red,2026-06-30,11,1586.0,1586.0,0.074,0.081
CAL.R-BIA,SLOW,2.B.Blue,2026-04-07,11,502.0,501.0,0.518,0.09
CAL.R-BIA,SLOW,2.B.Blue,2026-06-30,11,502.0,501.0,0.518,0.09
CAL.R-BIA,SLOW,2.B.Green,2026-04-07,11,632.0,631.0,0.386,0.061
CAL.R-BIA,SLOW,2.B.Green,2026-06-30,11,631.0,630.0,0.38,0.06
CAL.R-BIA,SLOW,2.B.Red,2026-04-07,11,1563.0,1563.0,0.05,0.061
CAL.R-BIA,SLOW,2.B.Red,2026-06-30,11,1561.0,1561.0,0.051,0.061
CAL.R-BIA,SLOW,3.A.Blue,2026-04-07,11,493.0,492.0,1436.559,0.049
CAL.R-BIA,SLOW,3.A.Blue,2026-06-30,11,494.0,492.0,1436.556,0.049
CAL.R-BIA,SLOW,3.A.Green,2026-04-07,11,693.0,692.0,0.535,0.073
CAL.R-BIA,SLOW,3.A.Green,2026-06-30,11,693.0,691.0,0.542,0.074
CAL.R-BIA,SLOW,3.A.Red,2026-04-07,11,1680.0,1679.0,0.055,0.059
CAL.R-BIA,SLOW,3.A.Red,2026-06-30,11,1681.0,1681.0,0.06,0.061
CAL.R-BIA,SLOW,3.B.Blue,2026-04-07,11,834.0,834.0,0.069,0.058
CAL.R-BIA,SLOW,3.B.Blue,2026-06-30,11,834.0,834.0,0.068,0.058
CAL.R-BIA,SLOW,3.B.Green,2026-04-07,11,674.0,673.0,0.461,0.058
CAL.R-BIA,SLOW,3.B.Green,2026-06-30,11,676.0,675.0,0.442,0.058
CAL.R-BIA,SLOW,3.B.Red,2026-04-07,11,1610.0,1610.0,0.16,0.079
CAL.R-BIA,SLOW,3.B.Red,2026-06-30,11,1610.0,1610.0,0.126,0.076
CAL.R-BIA,SLOW,4.A.Green,2026-04-07,11,299.0,297.0,0.747,0.067
CAL.R-BIA,SLOW,4.A.Green,2026-06-30,11,300.0,299.0,0.72,0.065
